# T3 paper diagnostic metrics — all per-run scalars from summary_T*.csv (read, not recomputed)
# Source: webwalkerqa/run/run_main_table.py compute_qpd / compute_itc / compute_atc
# QPD = Query Pairwise Diversity: mean Jaccard distance over all pairs of turn-1 queries across the k threads (per question, then averaged over questions)
# ITC = Inter-Turn Coherence: per thread, mean Jaccard similarity of turn-1 query vs each later turn's query; averaged over threads then questions
# ATC = Across-Thread Coherence (despite the name, this is a DISTANCE): per turn, mean pairwise Jaccard distance between threads' queries; averaged across turns and questions
# Sequential (k=1) writes 0.0 for all three metrics by construction (no pair to compare).
model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC,source_dir
gemma3-4b,GAIA,diversity_parallel,4,3,103,0.8473156310679608,0.3772889611650487,0.6970608640776699,main_table_clueweb_t8/gemma3-4b/GAIA/div_k4/run_3
gemma3-4b,GAIA,diversity_parallel,8,1,103,0.8089287378640778,0.3851216699029127,0.6833920873786408,main_table_clueweb_t8/gemma3-4b/GAIA/div_k8/run_1
gemma3-4b,GAIA,diversity_parallel,8,2,103,0.8091827475728157,0.3723338737864077,0.6815597184466021,main_table_clueweb_t8/gemma3-4b/GAIA/div_k8/run_2
gemma3-4b,GAIA,diversity_parallel,8,3,103,0.8010622233009709,0.3842444854368932,0.6707179126213594,main_table_clueweb_t8/gemma3-4b/GAIA/div_k8/run_3
gemma3-4b,GAIA,naive_parallel,4,1,103,0.2133965436893204,0.6325360679611651,0.3593834660194174,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k4/run_1
gemma3-4b,GAIA,naive_parallel,4,2,103,0.2376537281553397,0.6124581941747572,0.3903803398058253,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k4/run_2
gemma3-4b,GAIA,naive_parallel,4,3,103,0.2254313786407767,0.6413350485436893,0.3658082524271844,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k4/run_3
gemma3-4b,GAIA,naive_parallel,8,1,103,0.2327318155339805,0.6431038737864079,0.3715915339805823,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k8/run_1
gemma3-4b,GAIA,naive_parallel,8,2,103,0.2448875048543689,0.6293664077669902,0.3831046699029127,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k8/run_2
gemma3-4b,GAIA,naive_parallel,8,3,103,0.2290130388349514,0.6209168058252431,0.3823238155339805,main_table_clueweb_t8/gemma3-4b/GAIA/naive_k8/run_3
gemma3-4b,GAIA,sequential,1,1,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/GAIA/seq/run_1
gemma3-4b,GAIA,sequential,1,2,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/GAIA/seq/run_2
gemma3-4b,GAIA,sequential,1,3,103,0.0,0.0,0.0,main_table_clueweb_t8/gemma3-4b/GAIA/seq/run_3
gemma3-4b,bamboogle,diversity_parallel,4,1,125,0.9421501679999996,0.2278491039999999,0.8394520960000004,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k4/run_1
gemma3-4b,bamboogle,diversity_parallel,4,2,125,0.9415034480000002,0.229457864,0.8138095599999998,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k4/run_2
gemma3-4b,bamboogle,diversity_parallel,4,3,125,0.9405224960000002,0.208107688,0.8407130239999998,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k4/run_3
gemma3-4b,bamboogle,diversity_parallel,8,1,125,0.9038853520000004,0.212432504,0.8155333359999999,main_table_clueweb_t8/gemma3-4b/bamboogle/div_k8/run_1
