# T3 paper plot-ready diagnostic metrics — per-seed, both groups in one file
# group: mhqa = ClueWeb runs on hotpotqa/musique/2wiki/bamboogle/frames (5 datasets × 5 models)
#        reasoning = Serper runs on gaia/hle/webwalker (3 datasets × 4 models)
# condition: naive_k4 | div_k4 | naive_k8 | div_k8 (k=4 or k=8 parallel only)
# seeds: 1, 2, 3 (consistent across cells; older 5-seed runs trimmed for fair error bars)
# Paper-facing rename (from metric_names.txt): QPD, ITC, ATC column = ATD
group,model,dataset,condition,k,seed,num_questions,QPD,ITC,ATC
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k8,8,1,512,0.3580423281250002,0.510485294921875,0.3599804140624999
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k8,8,2,512,0.3601805527343748,0.5235698339843752,0.3627140917968751
mhqa,qwen3-1.7b,2wikimultihopqa,naive_k8,8,3,512,0.3322013906249997,0.4955368984374997,0.3292676621093747
mhqa,qwen3-1.7b,bamboogle,div_k4,4,1,125,0.6191957200000002,0.497927848,0.53063824
mhqa,qwen3-1.7b,bamboogle,div_k4,4,2,125,0.612494768,0.4589048239999999,0.5164714400000002
mhqa,qwen3-1.7b,bamboogle,div_k4,4,3,125,0.6087781600000003,0.47481472,0.5294516319999998
mhqa,qwen3-1.7b,bamboogle,div_k8,8,1,125,0.5586752079999998,0.514429512,0.4772862479999998
mhqa,qwen3-1.7b,bamboogle,div_k8,8,2,125,0.54988672,0.5238960960000002,0.472662384
mhqa,qwen3-1.7b,bamboogle,div_k8,8,3,125,0.5489970640000001,0.5074523040000001,0.4719265759999999
mhqa,qwen3-1.7b,bamboogle,naive_k4,4,1,125,0.2057509999999999,0.7172746000000003,0.2119640639999999
mhqa,qwen3-1.7b,bamboogle,naive_k4,4,2,125,0.2066946719999999,0.7046194959999998,0.211377512
mhqa,qwen3-1.7b,bamboogle,naive_k4,4,3,125,0.189882432,0.7311703120000002,0.1954115439999999
mhqa,qwen3-1.7b,bamboogle,naive_k8,8,1,125,0.203438928,0.8152544800000002,0.20881732
mhqa,qwen3-1.7b,bamboogle,naive_k8,8,2,125,0.2030133999999999,0.7746742159999999,0.1970259199999999
mhqa,qwen3-1.7b,bamboogle,naive_k8,8,3,125,0.19673284,0.7763061039999999,0.1951576399999999
mhqa,qwen3-1.7b,frames,div_k4,4,1,824,0.5345957524271846,0.541750080097087,0.5036444660194178
mhqa,qwen3-1.7b,frames,div_k4,4,2,824,0.5269463288834951,0.5318083750000002,0.4970121371359224
mhqa,qwen3-1.7b,frames,div_k4,4,3,824,0.5265415376213595,0.5404692803398061,0.4945373774271843
mhqa,qwen3-1.7b,frames,div_k8,8,1,824,0.4667410885922331,0.5776579174757284,0.4484901201456316
mhqa,qwen3-1.7b,frames,div_k8,8,2,824,0.465302728155339,0.5809145157766986,0.4460825157766985
mhqa,qwen3-1.7b,frames,div_k8,8,3,824,0.4610335679611643,0.5947947706310676,0.4415580570388345
mhqa,qwen3-1.7b,frames,naive_k4,4,1,824,0.2744910788834951,0.6697701067961164,0.2838133883495146
mhqa,qwen3-1.7b,frames,naive_k4,4,2,824,0.2806238264563108,0.6744688713592227,0.2938895764563108
mhqa,qwen3-1.7b,frames,naive_k4,4,3,824,0.2763143652912622,0.6707114696601943,0.2877027475728156
mhqa,qwen3-1.7b,frames,naive_k8,8,1,824,0.2757845521844659,0.6992859781553392,0.2861715618932038
mhqa,qwen3-1.7b,frames,naive_k8,8,2,824,0.2829985133495147,0.7151966516990291,0.2949335570388351
mhqa,qwen3-1.7b,frames,naive_k8,8,3,824,0.2789411808252425,0.7174472427184462,0.2876427014563104
mhqa,qwen3-1.7b,hotpotqa,div_k4,4,1,512,0.6172578320312503,0.4235890820312499,0.6134020527343755
mhqa,qwen3-1.7b,hotpotqa,div_k4,4,2,512,0.6111493261718746,0.4124423593749997,0.6029809042968749
mhqa,qwen3-1.7b,hotpotqa,div_k4,4,3,512,0.6147199609374998,0.4356145429687498,0.60777837109375
mhqa,qwen3-1.7b,hotpotqa,div_k8,8,1,512,0.5570231972656247,0.5276655605468749,0.5493644609374999
mhqa,qwen3-1.7b,hotpotqa,div_k8,8,2,512,0.5589063007812501,0.518122158203125,0.5526464355468751
mhqa,qwen3-1.7b,hotpotqa,div_k8,8,3,512,0.5553459726562497,0.5081439082031248,0.5472367109375004
mhqa,qwen3-1.7b,hotpotqa,naive_k4,4,1,512,0.29739250390625,0.34138952734375,0.29587145703125
